"Event ID","System Name","Start Time","End Time","Time(ms)","Command","Event Type","Status","Local IP","Local Port","Remote IP","Remote Port","User","Virtual Path","File Size","Remarks"
"iedm2d80_150873077","iedm2d80","8/24/26 10:21:03 a.m.","8/24/26 10:21:03 a.m.","1","Disconnect","Disconnect","I","155.15.250.6","10022","209.121.109.61","56813","HZVa","","0","Disconnected"
"iedm2d80_151020253","iedm2d80","8/26/26 10:06:26 a.m.","8/26/26 10:06:26 a.m.","3","Login","Login Successful","I","155.15.250.6","10022","209.121.109.61","49673","HZVa","","0","User 'HZVa' logged in with a password and the public key 'fd:70:8a:4b:37:fd:92:e4:2e:42:36:90:88:7b:e1:cc'"
"iedm2d80_151020254","iedm2d80","8/26/26 10:06:26 a.m.","8/26/26 10:06:26 a.m.","180","Upload","Upload Successful","I","155.15.250.6","10022","209.121.109.61","49673","HZVa","/UPLOAD/HZV000530.dat","1,280","File was uploaded successfully"
"iedm2d80_151020255","iedm2d80","8/26/26 10:06:27 a.m.","8/26/26 10:06:27 a.m.","0","Disconnect","Disconnect","I","155.15.250.6","10022","209.121.109.61","49673","HZVa","","0","Disconnected"
"iedm2d80_151026160","iedm2d80","8/26/26 12:05:08 p.m.","8/26/26 12:05:08 p.m.","2","Login","Login Successful","I","155.15.250.6","10022","209.121.109.61","60740","HZVa","","0","User 'HZVa' logged in with a password and the public key 'fd:70:8a:4b:37:fd:92:e4:2e:42:36:90:88:7b:e1:cc'"
"iedm2d80_151026161","iedm2d80","8/26/26 12:05:09 p.m.","8/26/26 12:05:09 p.m.","183","Download","Download Successful","I","155.15.250.6","10022","209.121.109.61","60740","HZVa","/DOWNLOAD/HZV-20260823000616274-HZV000530_1.txt","77","File download successful"
"iedm2d80_151026162","iedm2d80","8/26/26 12:05:09 p.m.","8/26/26 12:05:09 p.m.","169","Download","Download Successful","I","155.15.250.6","10022","209.121.109.61","60740","HZVa","/DOWNLOAD/HZV-20260826100836198-HZV000530.dat","75","File download successful"
"iedm2d80_151026163","iedm2d80","8/26/26 12:05:10 p.m.","8/26/26 12:05:10 p.m.","186","Download","Download Successful","I","155.15.250.6","10022","209.121.109.61","60740","HZVa","/DOWNLOAD/HZV-20260824083117956-HZV000530","71","File download successful"
"iedm2d80_151026164","iedm2d80","8/26/26 12:05:10 p.m.","8/26/26 12:05:10 p.m.","144","Download","Download Successful","I","155.15.250.6","10022","209.121.109.61","60740","HZVa","/DOWNLOAD/HZV-20260823000606465-HZV000530.txt","75","File download successful"
"iedm2d80_151026165","iedm2d80","8/26/26 12:05:10 p.m.","8/26/26 12:05:10 p.m.","1","Disconnect","Disconnect","I","155.15.250.6","10022","209.121.109.61","60740","HZVa","","0","Disconnected"
